Code,Name,Website,General Inquiries,Registration
45480,The Unleashed Collective Pty Ltd ATF JAJAA Family Trust,none,0246833113,Current
41458,"THINKGATE LEARNING PTY LTD
   Trading as:
Atlantis College of Management",none,0396147857,Current
40058,TIME Education and Training Pty Ltd,none,0883519888,Current
45509,TKL College Pty Ltd,none,0411216262,Current
91852,"Training Education & Management Services Pty Ltd
   Trading as:
Training Education And Management Services pty ltd",none,0267322080,Current
40577,TRAINING EVOLUTION PTY LTD,none,1300648145,Current
41479,TRAINING MASTERS PTY. LTD.,none,0282787722,Current
21187,"Training Werx Pty Ltd
   Trading as:
TRAINING WERX",none,0739105883,Current
31269,"Transformational Institute Pty Ltd
   Trading as:
Transformational Institute",none,0249697544,Current
45323,"TRIDENT EDUCATION AUSTRALIA PTY LTD
   Trading as:
Milestones International College",none,1300991716,Current
90490,"Trustees of the Roman Catholic Church for the Diocese of Parramatta
   Trading as:
Catholic Education Diocese of Parramatta
THE PARRAMATTA DIOCESE CATHOLIC SCHOOL SYSTEM",none,0400202688,Current
41117,"TTY COLLECTIVE PTY LTD
   Trading as:
Protea College",none,0731774535,Current
91364,"UPC Pty Ltd
   Trading as:
University Preparation College",none,0297916020,Current
40374,"Upskilled Pty Ltd
   Trading as:
Upskilled",none,1300009924,Current
45075,"URGE TRAINING PTY LTD
   Trading as:
Cambridge College Western Australia",none,0861615313,Current
41428,"VANSHRAJ ENTERPRISES PTY LTD
   Trading as:
Victorian Academy Of Commerce and Technology Startups",none,1300669849,Current
41270,"VELOCITY EDUCATION & TRAINING PTY. LTD.
   Trading as:
Velocity Education & Training",none,0421459313,Current
6971,VERTO Ltd,none,0263345115,Current
20739,Victorian Aboriginal Community Controlled Health Organisation Inc.,none,0394119411,Current
41469,"VICTORIAN INSTITUTE OF APPLIED LEARNING PTY LTD
   Trading as:
Humber College",none,0738088008,Current
91161,"Victory Institute of Vocational Education Pty Ltd
   Trading as:
Victory Institute",none,0292998889,Current
40530,"Virtu Design Institute Pty Limited
   Trading as:
Virtu Business Institute
Virtu Institute
APC Design School",none,1300830272,Current
91270,Warwick Institute of Australia Pty Ltd,none,0292118838,Current
121164,"Windsor and Williams Pty Ltd
   Trading as:
ABEX Institute
ABEX Institute of Training
ABEX Training Group",none,0395103800,Current
4183,"WPCGROUP LTD
   Trading as:
Western Business School",none,1300656461,Current
30895,"Xamerg Pty Ltd
   Trading as:
The Eagle Academy",none,0733984488,Current
45033,YORK BUSINESS INSTITUTE PTY. LTD.,none,0283166666,Current
90396,"Young Rabbit Pty Ltd
   Trading as:
Australian Pacific College
English Unlimited Sydney
English Unlimited Melbourne",none,1300830272,Current
